attribute,attributeRarity
Beanie,0.44
Choker,0.48
Pilot Helmet,0.54
Tiara,0.55
Orange Side,0.68
Buck Teeth,0.78
Welding Goggles,0.86
Pigtails,0.94
Pink With Hat,0.95
Top Hat,1.15
Spots,1.24
Rosy Cheeks,1.28
Blonde Short,1.29
Wild White Hair,1.36
Cowboy Hat,1.42
Wild Blonde,1.44
Straight Hair Blonde,1.44
Big Beard,1.46
Blonde Bob,1.47
Vampire Hair,1.47
Red Mohawk,1.47
Half Shaved,1.47
Clown Hair Green,1.48
Straight Hair Dark,1.48
Straight Hair,1.51
Silver Chain,1.56
Dark Hair,1.57
Purple Hair,1.65
Gold Chain,1.69
Medical Mask,1.75
Tassle Hat,1.78
Fedora,1.86
Police Cap,2.03
Clown Nose,2.12
Smile,2.38
Cap Forward,2.54
Hoodie,2.59
Front Beard Dark,2.6
Frown,2.61
Purple Eye Shadow,2.62
Handlebars,2.63
Blue Eye Shadow,2.66
Green Eye Shadow,2.71
Vape,2.72
Front Beard,2.73
Chinstrap,2.82
Luxurious Beard,2.86
3D Glasses,2.86
Mustache,2.88
Normal Beard Black,2.89
Normal Beard,2.92
Eye Mask,2.93
Goat,2.95
Do-rag,3
Shaved Head,3
Peak Spike,3.03
Muttonchops,3.03
Pipe,3.17
VR,3.32
Cap,3.51
Small Shades,3.78
Clown Eyes Green,3.82
Clown Eyes Blue,3.84
Headband,4.06
Crazy hair,4.14
Knitted Cap,4.19
Mohawk Dark,4.29
Mohawk Thin,4.41
Mohawk,4.41
Frumpy Hair,4.42
Wild Hair,4.47
Messy Hair,4.6
Eye Patch,4.61
Stringy Hair,4.63
Bandana,4.81
Classic Shades,5.01
Shadow Beard,5.26
Regular Shades,5.27
Big Shades,5.35
Horned Rim Glasses,5.35
Nerd Glasses,5.72
Black Lipstick,6.17
Mole,6.44
Purple Lipstick,6.55
Hot Lipstick,6.96
Cigarette,9.61
Earring,24.59